"Commit Hash","Commit Message","File Name","Source Code Before File Path","Source Code After File Path","Diff File Path"
"21adbd61fb2fb19bd135b1c0107c82b4f0c704bb","worked on chi squared and started building a new maths helper class","__main__.py","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb___main__.py_before.txt","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb___main__.py_after.txt","diffs/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb___main__.py_diff.txt"
"21adbd61fb2fb19bd135b1c0107c82b4f0c704bb","worked on chi squared and started building a new maths helper class","__init__.cpython-36.pyc","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb___init__.cpython-36.pyc_before.txt","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb___init__.cpython-36.pyc_after.txt","diffs/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb___init__.cpython-36.pyc_diff.txt"
"21adbd61fb2fb19bd135b1c0107c82b4f0c704bb","worked on chi squared and started building a new maths helper class","__main__.cpython-36.pyc","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb___main__.cpython-36.pyc_before.txt","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb___main__.cpython-36.pyc_after.txt","diffs/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb___main__.cpython-36.pyc_diff.txt"
"21adbd61fb2fb19bd135b1c0107c82b4f0c704bb","worked on chi squared and started building a new maths helper class","basecommand.cpython-36.pyc","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_basecommand.cpython-36.pyc_before.txt","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_basecommand.cpython-36.pyc_after.txt","diffs/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_basecommand.cpython-36.pyc_diff.txt"
"21adbd61fb2fb19bd135b1c0107c82b4f0c704bb","worked on chi squared and started building a new maths helper class","baseparser.cpython-36.pyc","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_baseparser.cpython-36.pyc_before.txt","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_baseparser.cpython-36.pyc_after.txt","diffs/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_baseparser.cpython-36.pyc_diff.txt"
"21adbd61fb2fb19bd135b1c0107c82b4f0c704bb","worked on chi squared and started building a new maths helper class","cmdoptions.cpython-36.pyc","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_cmdoptions.cpython-36.pyc_before.txt","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_cmdoptions.cpython-36.pyc_after.txt","diffs/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_cmdoptions.cpython-36.pyc_diff.txt"
"21adbd61fb2fb19bd135b1c0107c82b4f0c704bb","worked on chi squared and started building a new maths helper class","download.cpython-36.pyc","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_download.cpython-36.pyc_before.txt","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_download.cpython-36.pyc_after.txt","diffs/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_download.cpython-36.pyc_diff.txt"
"21adbd61fb2fb19bd135b1c0107c82b4f0c704bb","worked on chi squared and started building a new maths helper class","exceptions.cpython-36.pyc","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_exceptions.cpython-36.pyc_before.txt","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_exceptions.cpython-36.pyc_after.txt","diffs/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_exceptions.cpython-36.pyc_diff.txt"
"21adbd61fb2fb19bd135b1c0107c82b4f0c704bb","worked on chi squared and started building a new maths helper class","index.cpython-36.pyc","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_index.cpython-36.pyc_before.txt","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_index.cpython-36.pyc_after.txt","diffs/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_index.cpython-36.pyc_diff.txt"
"21adbd61fb2fb19bd135b1c0107c82b4f0c704bb","worked on chi squared and started building a new maths helper class","locations.cpython-36.pyc","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_locations.cpython-36.pyc_before.txt","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_locations.cpython-36.pyc_after.txt","diffs/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_locations.cpython-36.pyc_diff.txt"
