Commit Hash,File Name,MI_Before,MI_After,MI_Change,CC_Before,CC_After,CC_Change,LOC_Before,LOC_After,LOC_Change
3296a79e762f70e6e896f0ae8ba3187882873dad,testchi_squared.py,,,,,,,,,
3296a79e762f70e6e896f0ae8ba3187882873dad,testdictionary_checker.py,,,,,,,,,
3296a79e762f70e6e896f0ae8ba3187882873dad,dictionaryChecker.py,,,,,,,,,
3296a79e762f70e6e896f0ae8ba3187882873dad,mathsHelper.py,,,,,,,,,
3296a79e762f70e6e896f0ae8ba3187882873dad,starter.py,,,,,,,,,
3296a79e762f70e6e896f0ae8ba3187882873dad,starter2.py,,,,,,,,,
3296a79e762f70e6e896f0ae8ba3187882873dad,starter.py,,,,,,,,,
38079984b94752dee391faf79d9321464ef9eee0,chisquared.py,,,,,,,,,
efa56c6414b7dfc246195801f3df026972c2ac3b,chisquared.py,,,,,,,,,
2cd805c0424f926a60b4c75602efc16dfe0993b6,nn.py,,,,,,,,,
50e04cb9cbd73b89ab3392acdd2bb78745c097a9,nn.py,,,,,,,,,
ae4f2c7beb00ec8b84ee4399bac53a7021f0002e,caesar.py,,,,,,,,,
ae4f2c7beb00ec8b84ee4399bac53a7021f0002e,testchi_squared.py,,,,,,,,,
ae4f2c7beb00ec8b84ee4399bac53a7021f0002e,testdictionary_checker.py,,,,,,,,,
ae4f2c7beb00ec8b84ee4399bac53a7021f0002e,testintegration_languagechecker.py,,,,,,,,,
ae4f2c7beb00ec8b84ee4399bac53a7021f0002e,test.py,,,,,,,,,
ae4f2c7beb00ec8b84ee4399bac53a7021f0002e,LanguageChecker.py,,,,,,,,,
ae4f2c7beb00ec8b84ee4399bac53a7021f0002e,__init__.py,,,,,,,,,
ae4f2c7beb00ec8b84ee4399bac53a7021f0002e,chisquared.py,,,,,,,,,
ae4f2c7beb00ec8b84ee4399bac53a7021f0002e,dictionaryChecker.py,,,,,,,,,
ae4f2c7beb00ec8b84ee4399bac53a7021f0002e,main.py,,,,,,,,,
ae4f2c7beb00ec8b84ee4399bac53a7021f0002e,mathsHelper.py,,,,,,,,,
ae4f2c7beb00ec8b84ee4399bac53a7021f0002e,ciphey_neural_network.py,,,,,,,,,
ae4f2c7beb00ec8b84ee4399bac53a7021f0002e,main.py,,,,,,,,,
ae4f2c7beb00ec8b84ee4399bac53a7021f0002e,nn.py,,,,,,,,,
3e02f07520fea77ad7ad70cedf09788b2c49a64f,caesar.py,,,,,,,,,
3e02f07520fea77ad7ad70cedf09788b2c49a64f,testchi_squared.py,,,,,,,,,
3e02f07520fea77ad7ad70cedf09788b2c49a64f,testdictionary_checker.py,,,,,,,,,
3e02f07520fea77ad7ad70cedf09788b2c49a64f,testintegration_languagechecker.py,,,,,,,,,
3e02f07520fea77ad7ad70cedf09788b2c49a64f,test.py,,,,,,,,,
3e02f07520fea77ad7ad70cedf09788b2c49a64f,LanguageChecker.py,,,,,,,,,
3e02f07520fea77ad7ad70cedf09788b2c49a64f,__init__.py,,,,,,,,,
3e02f07520fea77ad7ad70cedf09788b2c49a64f,chisquared.py,,,,,,,,,
3e02f07520fea77ad7ad70cedf09788b2c49a64f,dictionaryChecker.py,,,,,,,,,
3e02f07520fea77ad7ad70cedf09788b2c49a64f,main.py,,,,,,,,,
3e02f07520fea77ad7ad70cedf09788b2c49a64f,mathsHelper.py,,,,,,,,,
3e02f07520fea77ad7ad70cedf09788b2c49a64f,ciphey_neural_network.py,,,,,,,,,
3e02f07520fea77ad7ad70cedf09788b2c49a64f,main.py,,,,,,,,,
3e02f07520fea77ad7ad70cedf09788b2c49a64f,nn.py,,,,,,,,,
46398b22474d8d4dba58397e289ebf3e804569cf,testintegration_languagechecker.py,,,,,,,,,
46398b22474d8d4dba58397e289ebf3e804569cf,LanguageChecker.py,,,,,,,,,
46398b22474d8d4dba58397e289ebf3e804569cf,chisquared.py,,,,,,,,,
46398b22474d8d4dba58397e289ebf3e804569cf,dictionaryChecker.py,,,,,,,,,
f753829586c2366df64e6b4b74e00a081b4d8fdf,testintegration_languagechecker.py,,,,,,,,,
f753829586c2366df64e6b4b74e00a081b4d8fdf,LanguageChecker.py,,,,,,,,,
f753829586c2366df64e6b4b74e00a081b4d8fdf,chisquared.py,,,,,,,,,
f753829586c2366df64e6b4b74e00a081b4d8fdf,dictionaryChecker.py,,,,,,,,,
f44f2ba31bb2b8be895792e27e6fac4fe474729c,testintegration_languagechecker.py,,,,,,,,,
f44f2ba31bb2b8be895792e27e6fac4fe474729c,testneural_network.py,,,,,,,,,
f44f2ba31bb2b8be895792e27e6fac4fe474729c,main.py,,,,,,,,,
f44f2ba31bb2b8be895792e27e6fac4fe474729c,nn.py,,,,,,,,,
087a2f8391e8f64cdd81338b44e5a898cbe6924c,testintegration_languagechecker.py,,,,,,,,,
087a2f8391e8f64cdd81338b44e5a898cbe6924c,testneural_network.py,,,,,,,,,
087a2f8391e8f64cdd81338b44e5a898cbe6924c,main.py,,,,,,,,,
087a2f8391e8f64cdd81338b44e5a898cbe6924c,nn.py,,,,,,,,,
ae300f40ea03c5ac82a4eb3872716f8174823caa,basic_parent.py,,,,,,,,,
ae300f40ea03c5ac82a4eb3872716f8174823caa,caesar.py,,,,,,,,,
ae300f40ea03c5ac82a4eb3872716f8174823caa,LanguageChecker.py,,,,,,,,,
ae300f40ea03c5ac82a4eb3872716f8174823caa,main.py,,,,,,,,,
ae300f40ea03c5ac82a4eb3872716f8174823caa,ciphey_neural_network.py,,,,,,,,,
ae300f40ea03c5ac82a4eb3872716f8174823caa,starter.py,,,,,,,,,
ae300f40ea03c5ac82a4eb3872716f8174823caa,starter2.py,,,,,,,,,
ae300f40ea03c5ac82a4eb3872716f8174823caa,neural copy.py,,,,,,,,,
ae300f40ea03c5ac82a4eb3872716f8174823caa,neural.py,,,,,,,,,
ae300f40ea03c5ac82a4eb3872716f8174823caa,nn.py,,,,,,,,,
ae300f40ea03c5ac82a4eb3872716f8174823caa,rnn.py,,,,,,,,,
46ded5bc9a88cb1d87eaa0d43d180c627a74c818,basic_parent.py,,,,,,,,,
46ded5bc9a88cb1d87eaa0d43d180c627a74c818,caesar.py,,,,,,,,,
46ded5bc9a88cb1d87eaa0d43d180c627a74c818,LanguageChecker.py,,,,,,,,,
46ded5bc9a88cb1d87eaa0d43d180c627a74c818,main.py,,,,,,,,,
46ded5bc9a88cb1d87eaa0d43d180c627a74c818,ciphey_neural_network.py,,,,,,,,,
46ded5bc9a88cb1d87eaa0d43d180c627a74c818,starter.py,,,,,,,,,
46ded5bc9a88cb1d87eaa0d43d180c627a74c818,starter2.py,,,,,,,,,
46ded5bc9a88cb1d87eaa0d43d180c627a74c818,neural copy.py,,,,,,,,,
46ded5bc9a88cb1d87eaa0d43d180c627a74c818,neural.py,,,,,,,,,
46ded5bc9a88cb1d87eaa0d43d180c627a74c818,nn.py,,,,,,,,,
46ded5bc9a88cb1d87eaa0d43d180c627a74c818,rnn.py,,,,,,,,,
e0b67663a30e7e9ebdfa18319506c8d242a984b0,basic_parent.py,,,,,,,,,
e0b67663a30e7e9ebdfa18319506c8d242a984b0,caesar.py,,,,,,,,,
e0b67663a30e7e9ebdfa18319506c8d242a984b0,main.py,,,,,,,,,
e0b67663a30e7e9ebdfa18319506c8d242a984b0,main.py,,,,,,,,,
e0b67663a30e7e9ebdfa18319506c8d242a984b0,mathsHelper.py,,,,,,,,,
5117cf46b5d7bae5ad573457588588aff11a8154,basic_parent.py,,,,,,,,,
5117cf46b5d7bae5ad573457588588aff11a8154,caesar.py,,,,,,,,,
5117cf46b5d7bae5ad573457588588aff11a8154,main.py,,,,,,,,,
5117cf46b5d7bae5ad573457588588aff11a8154,main.py,,,,,,,,,
5117cf46b5d7bae5ad573457588588aff11a8154,mathsHelper.py,,,,,,,,,
1eb94e71344bf48b1477f4c223f9706e0a639402,basic_parent.py,,,,,,,,,
1eb94e71344bf48b1477f4c223f9706e0a639402,caesar.py,,,,,,,,,
1eb94e71344bf48b1477f4c223f9706e0a639402,testcaesarcipher_basic.py,,,,,,,,,
1eb94e71344bf48b1477f4c223f9706e0a639402,testintegration_languagechecker.py,,,,,,,,,
1eb94e71344bf48b1477f4c223f9706e0a639402,testneural_network.py,,,,,,,,,
1eb94e71344bf48b1477f4c223f9706e0a639402,dictionaryChecker.py,,,,,,,,,
1eb94e71344bf48b1477f4c223f9706e0a639402,main.py,,,,,,,,,
71faf038330bcba5c6092c2b88cc18e85f8606a0,basic_parent.py,,,,,,,,,
71faf038330bcba5c6092c2b88cc18e85f8606a0,caesar.py,,,,,,,,,
71faf038330bcba5c6092c2b88cc18e85f8606a0,testcaesarcipher_basic.py,,,,,,,,,
